step,r_ave,r_err
1,1,0
2,1.41373,0.00131369
3,1.72913,0.00225095
4,1.99844,0.00256859
5,2.23316,0.00261308
6,2.44598,0.00289401
7,2.64291,0.00313879
8,2.82317,0.003635
9,2.99456,0.00385856
10,3.15754,0.00385858
11,3.3122,0.00389927
12,3.46175,0.00447968
13,3.60835,0.00460771
14,3.74512,0.00486621
15,3.87899,0.00517876
16,4.00518,0.00515258
17,4.1264,0.00520734
18,4.24363,0.00553401
19,4.36071,0.00579967
20,4.4748,0.00608387
21,4.58687,0.00591557
22,4.69738,0.0059743
23,4.80271,0.00607009
24,4.90499,0.00624964
25,5.00497,0.00675971
26,5.10605,0.0069044
27,5.2038,0.00684779
28,5.30223,0.00712901
29,5.39566,0.00722432
30,5.48579,0.00724864
31,5.5749,0.00739989
32,5.66392,0.00793346
33,5.75607,0.0082329
34,5.8384,0.00845726
35,5.92461,0.00869109
36,6.01049,0.00856867
37,6.09417,0.00852357
38,6.17929,0.00869356
39,6.26038,0.00884283
40,6.33839,0.00853616
41,6.41714,0.00899489
42,6.49771,0.00889303
43,6.57291,0.00903185
44,6.64788,0.0092305
45,6.72267,0.009371
46,6.79648,0.00957381
47,6.86774,0.00960706
48,6.94079,0.00952608
49,7.01332,0.00957023
50,7.08748,0.0099508
51,7.15757,0.00987875
52,7.22722,0.00989958
53,7.29349,0.00971929
54,7.36053,0.00988216
55,7.42564,0.00992696
56,7.49356,0.0101971
57,7.56052,0.0101256
58,7.62565,0.0102153
59,7.69354,0.0100934
60,7.76131,0.0104199
61,7.82605,0.0107739
62,7.89224,0.0108981
63,7.95657,0.0108094
64,8.01988,0.0110867
65,8.08181,0.0111152
66,8.14386,0.0110898
67,8.20366,0.0111325
68,8.26203,0.0114121
69,8.32752,0.0115738
70,8.38787,0.0115591
71,8.44364,0.0117719
72,8.50221,0.0118883
73,8.56272,0.0119655
74,8.62172,0.0120689
75,8.68101,0.0120525
76,8.73673,0.0120862
77,8.79561,0.0121911
78,8.8519,0.0123423
79,8.90773,0.0124657
80,8.96819,0.0121231
81,9.0255,0.0122134
82,9.08226,0.0125173
83,9.13441,0.0127215
84,9.18784,0.0129675
85,9.24166,0.012606
86,9.29742,0.0125403
87,9.34848,0.0125556
88,9.3982,0.0123222
89,9.44962,0.0123847
90,9.50067,0.0126782
91,9.55368,0.0126235
92,9.60812,0.0127486
93,9.66125,0.0128582
94,9.71285,0.013134
95,9.76368,0.012902
96,9.81347,0.0128226
97,9.86652,0.0128705
98,9.91654,0.0127425
99,9.96702,0.012862
100,10.0195,0.0127685
