step,r_ave,r_err
1,1,0
2,1.41452,0.00132706
3,1.73181,0.00200581
4,1.99945,0.00243732
5,2.23773,0.00249235
6,2.45393,0.00289209
7,2.6478,0.00308611
8,2.83214,0.00325386
9,3.00505,0.00348051
10,3.16637,0.00372026
11,3.32144,0.00390524
12,3.46724,0.00441214
13,3.60828,0.00438853
14,3.74619,0.00439066
15,3.87751,0.00487194
16,4.0018,0.00523514
17,4.1239,0.00543684
18,4.24503,0.00577129
19,4.36097,0.0058424
20,4.47422,0.00579926
21,4.5827,0.0060969
22,4.694,0.00617158
23,4.79928,0.00608307
24,4.89962,0.00636479
25,4.99932,0.00648201
26,5.09716,0.00668257
27,5.19602,0.00672705
28,5.29377,0.00710793
29,5.38525,0.00704066
30,5.47554,0.0070222
31,5.56607,0.00725628
32,5.6555,0.00727702
33,5.74577,0.00739168
34,5.83127,0.00769999
35,5.91463,0.0081393
36,5.99624,0.00832938
37,6.08096,0.00830613
38,6.16189,0.00841889
39,6.24171,0.00876159
40,6.3202,0.00880285
41,6.39728,0.00861285
42,6.47434,0.0087932
43,6.55083,0.00907914
44,6.62933,0.009074
45,6.70447,0.00888563
46,6.78213,0.00886343
47,6.85635,0.00898137
48,6.93033,0.00948061
49,7.00478,0.0093797
50,7.07565,0.00920632
51,7.14739,0.00939234
52,7.2171,0.00926613
53,7.28599,0.00953356
54,7.35827,0.00967071
55,7.42897,0.00974099
56,7.49234,0.00985308
57,7.56117,0.00997638
58,7.62624,0.0100698
59,7.69003,0.0103354
60,7.75497,0.0103775
61,7.82179,0.0102289
62,7.8889,0.0106204
63,7.94854,0.0107193
64,8.01246,0.0107778
65,8.07303,0.0107917
66,8.13446,0.0107733
67,8.19355,0.0109417
68,8.25348,0.0114479
69,8.31281,0.0113939
70,8.37334,0.0114285
71,8.43032,0.0111025
72,8.48785,0.0111633
73,8.54741,0.0115146
74,8.60701,0.0117831
75,8.66452,0.0116643
76,8.72305,0.0115699
77,8.78085,0.0115433
78,8.83958,0.0115025
79,8.89993,0.0116062
80,8.95767,0.0114996
81,9.01596,0.0115065
82,9.07096,0.0116328
83,9.12798,0.0115139
84,9.18218,0.0117345
85,9.23521,0.0115435
86,9.28868,0.0114538
87,9.3389,0.0116212
88,9.39522,0.0117442
89,9.44959,0.0121628
90,9.50504,0.0119499
91,9.55838,0.0117143
92,9.61067,0.0116667
93,9.66114,0.0118767
94,9.71175,0.0121583
95,9.7595,0.0122309
96,9.81104,0.0121338
97,9.86028,0.0122874
98,9.91145,0.0124615
99,9.96108,0.0125446
100,10.0112,0.0126506
