mu,sigma^2,energy,err
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
0.839043,1.04526,0.272056,0.0025879
0.940918,0.977374,0.447433,0.00337519
1.10918,0.728172,0.600939,0.00279171
1.10918,0.728172,0.600939,0.00279171
0.936984,0.591415,-0.177653,0.00120187
1.01581,0.378613,-0.247983,0.000586724
1.01581,0.378613,-0.247983,0.000586724
1.2095,0.27813,0.264858,0.000902609
1.2095,0.27813,0.264858,0.000902609
1.2095,0.27813,0.264858,0.000902609
1.09355,0.458601,0.0138216,0.00112542
1.29435,0.368971,0.721407,0.00168323
1.29435,0.368971,0.721407,0.00168323
1.26054,0.465918,0.748242,0.00201487
1.22597,0.63384,0.986137,0.00310179
1.23396,0.723741,1.29789,0.00361111
1.00946,0.810018,0.369962,0.00271724
0.770729,0.895264,-0.0607431,0.00169174
1.001,0.806802,0.333184,0.00226217
0.821017,0.578936,-0.325139,0.000806707
0.821017,0.578936,-0.325139,0.000806707
1.07074,0.705638,0.388575,0.00265972
1.03747,0.533508,-0.0378283,0.00133463
1.07247,0.72089,0.425386,0.0025249
1.07247,0.72089,0.425386,0.0025249
1.07247,0.72089,0.425386,0.0025249
1.07247,0.72089,0.425386,0.0025249
1.07339,0.483204,-0.0123872,0.00119699
1.04857,0.712906,0.319179,0.00239193
0.799411,0.573971,-0.340841,0.000830237
0.910163,0.594086,-0.217208,0.00124275
0.980321,0.769651,0.200581,0.0023131
0.980321,0.769651,0.200581,0.0023131
0.954816,0.654111,-0.0544521,0.0015345
0.982278,0.560801,-0.130232,0.00136151
0.813403,0.343867,-0.436003,0.000275903
0.599332,0.433123,-0.324774,0.000352511
0.395801,0.6094,-0.210384,0.000552311
0.319788,0.596861,-0.159223,0.000435476
0.276558,0.709925,-0.204953,0.000468114
0.276558,0.709925,-0.204953,0.000468114
0.161543,0.865858,-0.238373,0.000608961
0.224941,0.649475,-0.152745,0.000532844
0.183972,0.640679,-0.132463,0.00057184
0.183972,0.640679,-0.132463,0.00057184
0.0680637,0.847258,-0.228656,0.000519275
0.209117,1.08267,-0.234928,0.000780192
0.369014,1.2367,-0.121868,0.00154436
0.437908,1.09878,-0.172495,0.00146571
0.363345,1.20397,-0.145922,0.00158406
0.435773,1.35649,0.0232403,0.00221153
0.448281,1.35165,0.0273963,0.00236353
0.419987,1.11102,-0.176604,0.00142424
0.602436,1.18495,0.023312,0.00220241
0.71585,1.38043,0.479699,0.00342617
0.786305,1.58111,1.06233,0.00502876
0.786305,1.58111,1.06233,0.00502876
0.598015,1.3326,0.186375,0.00295513
0.481588,1.577,0.337217,0.00397594
0.481588,1.577,0.337217,0.00397594
0.279832,1.5537,0.109875,0.00256486
0.18697,1.63042,0.145608,0.00272837
0.012293,1.79784,0.320915,0.00302993
0.153465,1.96219,0.601759,0.00420139
0.212977,1.83303,0.43995,0.00377559
0.212977,1.83303,0.43995,0.00377559
0.0084609,1.78635,0.301066,0.00319111
0.0084609,1.78635,0.301066,0.00319111
0.04316,1.93475,0.515035,0.00420669
0.0729712,1.91161,0.488658,0.00396946
0.0136841,2.00447,0.624521,0.00426678
0.0136841,2.00447,0.624521,0.00426678
0.00985614,2.20968,1.01487,0.00540355
0.00985614,2.20968,1.01487,0.00540355
0.00985614,2.20968,1.01487,0.00540355
0.00985614,2.20968,1.01487,0.00540355
0.00985614,2.20968,1.01487,0.00540355
0.00985614,2.20968,1.01487,0.00540355
0.187611,1.98817,0.660703,0.00431912
0.147485,2.04923,0.746956,0.00505136
0.147485,2.04923,0.746956,0.00505136
0.212091,1.83886,0.438127,0.00445014
0.450526,1.8568,0.725219,0.00480848
0.410741,1.80309,0.581975,0.00419423
0.310631,1.63994,0.232112,0.00273856
0.332809,1.70937,0.344943,0.00337092
0.332809,1.70937,0.344943,0.00337092
0.0960303,1.64719,0.143174,0.00240578
0.0469529,1.42243,-0.0820695,0.00175251
0.0469529,1.42243,-0.0820695,0.00175251
0.0551267,1.60991,0.0894514,0.00235866
0.232241,1.53223,0.0612402,0.00238115
0.127252,1.45423,-0.0473363,0.0020534
0.295724,1.32921,-0.0896508,0.00193456
0.295724,1.32921,-0.0896508,0.00193456
0.544764,1.21565,-0.00860787,0.00207529
0.557374,1.24287,0.0304997,0.00228375
0.348956,1.35077,-0.0435273,0.00229895
0.470277,1.20771,-0.0815504,0.00177785
0.470277,1.20771,-0.0815504,0.00177785
0.470277,1.20771,-0.0815504,0.00177785
0.550742,1.06613,-0.130659,0.0015676
0.769151,0.976659,0.0295778,0.00206653
0.62665,0.732101,-0.283448,0.000872756
0.787149,0.654351,-0.280016,0.000860019
0.787197,0.543049,-0.370068,0.000667242
0.696776,0.41972,-0.405734,0.000279216
0.696776,0.41972,-0.405734,0.000279216
0.696776,0.41972,-0.405734,0.000279216
0.729394,0.662408,-0.301513,0.00104198
0.967331,0.482708,-0.258909,0.0007176
0.727379,0.547147,-0.372003,0.000577021
0.754015,0.384898,-0.436714,0.000256691
0.786444,0.559515,-0.357176,0.000680339
0.715289,0.691564,-0.287198,0.000873073
0.799731,0.49403,-0.400592,0.000525858
0.803816,0.291722,-0.387281,0.000385953
0.564374,0.479971,-0.298095,0.000323246
0.564374,0.479971,-0.298095,0.000323246
0.564374,0.479971,-0.298095,0.000323246
0.605237,0.236348,-0.199923,0.00055342
0.605237,0.236348,-0.199923,0.00055342
0.605237,0.236348,-0.199923,0.00055342
0.524102,0.397707,-0.228993,0.000427116
0.482183,0.481396,-0.219398,0.000435315
0.498439,0.332524,-0.152214,0.000473788
0.498439,0.332524,-0.152214,0.000473788
0.356803,0.293895,0.143413,0.000671371
0.425009,0.464189,-0.149792,0.000544496
0.551191,0.522876,-0.29182,0.000433927
0.623064,0.714334,-0.291961,0.00081993
0.55679,0.77974,-0.272431,0.00083571
0.432197,0.746907,-0.260674,0.000592938
0.432197,0.746907,-0.260674,0.000592938
0.442039,0.801732,-0.26398,0.00059671
0.656807,0.790128,-0.247849,0.00107456
0.880501,0.746572,-0.0683333,0.00149332
0.934351,0.665826,-0.0791661,0.00164977
0.880982,0.752702,-0.0578333,0.00173785
0.880982,0.752702,-0.0578333,0.00173785
0.965611,0.976244,0.528718,0.0029875
0.965611,0.976244,0.528718,0.0029875
0.965611,0.976244,0.528718,0.0029875
0.965611,0.976244,0.528718,0.0029875
0.80329,0.899152,-0.00421621,0.00177507
0.696178,0.834809,-0.195034,0.00132533
0.696178,0.834809,-0.195034,0.00132533
0.748228,0.842371,-0.143779,0.00147558
