mu,sigma^2,energy,err
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
0.839043,1.04526,0.272056,0.0025879
0.940918,0.977374,0.447433,0.00337519
1.10918,0.728172,0.600939,0.00279171
1.10918,0.728172,0.600939,0.00279171
0.936984,0.591415,-0.177653,0.00120187
1.01581,0.378613,-0.247983,0.000586724
0.900802,0.183323,0.105248,0.00100792
1.07431,0.231887,0.0106985,0.000635641
1.11532,0.24095,0.0592287,0.000562776
1.21755,0.281229,0.291874,0.000963301
1.27326,0.18244,0.626335,0.00103986
1.27326,0.18244,0.626335,0.00103986
1.27326,0.18244,0.626335,0.00103986
1.27326,0.18244,0.626335,0.00103986
1.055,0.348565,-0.173468,0.000634402
0.805132,0.411842,-0.439815,0.000321143
0.899293,0.439314,-0.381954,0.000561022
0.899293,0.439314,-0.381954,0.000561022
1.10259,0.534655,0.168015,0.00149741
1.10259,0.534655,0.168015,0.00149741
0.933075,0.694362,-0.0384321,0.0016144
0.77591,0.471362,-0.415159,0.000450545
0.565482,0.449095,-0.293734,0.000318072
0.811104,0.357456,-0.441687,0.000268075
0.707756,0.187339,-0.00895443,0.00110264
0.707756,0.187339,-0.00895443,0.00110264
0.635051,0.126431,0.668389,0.00214365
0.640257,0.195401,-0.0708519,0.000825642
0.640257,0.195401,-0.0708519,0.000825642
0.804704,0.355293,-0.441273,0.000262023
1.00072,0.392406,-0.270947,0.000640386
1.14675,0.293421,0.06907,0.000640188
1.14675,0.293421,0.06907,0.000640188
0.991664,0.28073,-0.227844,0.000454215
0.833796,0.489518,-0.391332,0.000558076
0.855057,0.239549,-0.233327,0.000682835
0.855057,0.239549,-0.233327,0.000682835
0.855057,0.239549,-0.233327,0.000682835
0.855057,0.239549,-0.233327,0.000682835
0.918958,0.356566,-0.386391,0.000368864
1.02002,0.571423,-0.0293446,0.00131143
1.21078,0.448795,0.45499,0.00174796
1.21078,0.448795,0.45499,0.00174796
0.969731,0.578294,-0.133504,0.00118437
0.952029,0.679194,-0.0230082,0.0018225
0.738127,0.46116,-0.414276,0.000356824
0.494138,0.676318,-0.275464,0.000591066
0.619405,0.79725,-0.259115,0.000930179
0.455132,0.590155,-0.239749,0.000459468
0.483691,0.586828,-0.256521,0.000512903
0.35457,0.690006,-0.223515,0.00047619
0.358706,0.506367,-0.119226,0.000593236
0.262629,0.441424,0.0371659,0.000645217
0.146633,0.294611,0.468223,0.000836652
0.0434804,0.497234,0.0635891,0.000684863
0.271624,0.534199,-0.0793047,0.000567181
0.157995,0.431791,0.131472,0.000733169
0.264889,0.525707,-0.0657864,0.000655836
0.435907,0.562556,-0.214365,0.000503497
0.355944,0.50002,-0.110487,0.000598392
0.299913,0.343526,0.151072,0.00076104
0.299913,0.343526,0.151072,0.00076104
0.533819,0.310979,-0.193527,0.00046151
0.665555,0.408527,-0.383719,0.000292049
0.541849,0.575997,-0.291155,0.000526896
0.450474,0.36794,-0.107362,0.000547282
0.402367,0.385505,-0.0527811,0.00059715
0.48546,0.412135,-0.186527,0.000507239
0.732451,0.443366,-0.418375,0.000359817
0.690604,0.579473,-0.352743,0.000572463
0.661537,0.356008,-0.374828,0.000239598
0.661537,0.356008,-0.374828,0.000239598
0.631504,0.37721,-0.350297,0.00031577
0.829036,0.289725,-0.378857,0.000424335
0.612946,0.376935,-0.330145,0.000297898
0.811365,0.462622,-0.416924,0.000401572
0.856851,0.225022,-0.171069,0.00078204
0.856851,0.225022,-0.171069,0.00078204
0.986447,0.257717,-0.182803,0.000511578
0.762222,0.240129,-0.266297,0.000720828
0.828868,0.248064,-0.276053,0.00072153
0.828868,0.248064,-0.276053,0.00072153
0.848587,0.410381,-0.430111,0.000357895
0.879956,0.429098,-0.404166,0.000474094
0.705193,0.291144,-0.366521,0.000409306
0.851502,0.384751,-0.433901,0.000314507
0.60258,0.329665,-0.3014,0.000362818
0.521223,0.298935,-0.165518,0.000496912
0.521223,0.298935,-0.165518,0.000496912
0.743145,0.497909,-0.398723,0.00042939
0.763239,0.540341,-0.375678,0.000546885
0.785435,0.53279,-0.376747,0.000685773
0.564225,0.70627,-0.291313,0.000617078
0.530484,0.620937,-0.286739,0.000552727
0.659512,0.703386,-0.293168,0.000832467
0.659512,0.703386,-0.293168,0.000832467
0.501674,0.752647,-0.274665,0.00064046
0.638991,0.648185,-0.316962,0.000647873
0.655521,0.609231,-0.334844,0.000610542
0.802692,0.675371,-0.2491,0.00106652
0.764408,0.584199,-0.346388,0.000652708
0.960792,0.360362,-0.338293,0.00043812
0.960792,0.360362,-0.338293,0.00043812
0.960792,0.360362,-0.338293,0.00043812
0.816987,0.527871,-0.371956,0.00068086
0.826385,0.31236,-0.410461,0.000355972
0.88674,0.355986,-0.411997,0.000307121
0.763515,0.289635,-0.384416,0.000410239
0.616677,0.260655,-0.256188,0.000495712
0.86498,0.4075,-0.422934,0.000464278
0.858472,0.549363,-0.325459,0.000795436
1.10671,0.330736,-0.0477264,0.000740721
1.10671,0.330736,-0.0477264,0.000740721
1.06429,0.468536,-0.057108,0.00107199
1.10554,0.502185,0.122984,0.00159297
1.32343,0.5871,1.51942,0.00284228
1.43648,0.505126,2.17539,0.00421234
1.43648,0.505126,2.17539,0.00421234
1.43648,0.505126,2.17539,0.00421234
1.36642,0.533172,1.66721,0.00351405
1.36642,0.533172,1.66721,0.00351405
1.22555,0.32546,0.339892,0.00123928
1.13646,0.355086,0.0432384,0.000867608
0.91999,0.192689,0.0427271,0.0009263
0.843314,0.28634,-0.366892,0.000369927
0.609546,0.149585,0.285232,0.00145163
0.50847,0.160246,0.163312,0.00100202
0.449368,0.335565,-0.0753366,0.000571174
0.217538,0.199532,0.722473,0.0010157
0.287864,0.445365,0.00936786,0.00060255
0.111519,0.678521,-0.143659,0.000567198
0.0413042,0.773132,-0.196225,0.000628927
0.0413042,0.773132,-0.196225,0.000628927
0.0413042,0.773132,-0.196225,0.000628927
0.0413042,0.773132,-0.196225,0.000628927
0.0758897,0.884618,-0.236576,0.000531078
0.0758897,0.884618,-0.236576,0.000531078
0.304006,0.683937,-0.202469,0.000520655
0.188097,0.77556,-0.212475,0.000564353
0.335589,0.988386,-0.24359,0.000847212
0.236385,1.23109,-0.17289,0.00143814
0.3149,1.04522,-0.233634,0.00100515
0.395412,0.927088,-0.24867,0.000935968
0.536037,0.912867,-0.228906,0.00106803
0.536037,0.912867,-0.228906,0.00106803
0.64214,0.712863,-0.291349,0.000762091
0.588108,0.864927,-0.232275,0.000923922
