mu,sigma^2,energy,err
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
0.839043,1.04526,0.272056,0.0025879
0.940918,0.977374,0.447433,0.00337519
1.10918,0.728172,0.600939,0.00279171
1.10918,0.728172,0.600939,0.00279171
0.936984,0.591415,-0.177653,0.00120187
1.01581,0.378613,-0.247983,0.000586724
1.01581,0.378613,-0.247983,0.000586724
1.2095,0.27813,0.264858,0.000902609
1.2095,0.27813,0.264858,0.000902609
1.2095,0.27813,0.264858,0.000902609
1.09355,0.458601,0.0138216,0.00112542
1.29435,0.368971,0.721407,0.00168323
1.29435,0.368971,0.721407,0.00168323
1.26054,0.465918,0.748242,0.00201487
1.22597,0.63384,0.986137,0.00310179
1.23396,0.723741,1.29789,0.00361111
1.00946,0.810018,0.369962,0.00271724
0.770729,0.895264,-0.0607431,0.00169174
1.001,0.806802,0.333184,0.00226217
0.821017,0.578936,-0.325139,0.000806707
0.821017,0.578936,-0.325139,0.000806707
1.07074,0.705638,0.388575,0.00265972
1.03747,0.533508,-0.0378283,0.00133463
1.07247,0.72089,0.425386,0.0025249
1.07247,0.72089,0.425386,0.0025249
1.07247,0.72089,0.425386,0.0025249
1.07247,0.72089,0.425386,0.0025249
1.07339,0.483204,-0.0123872,0.00119699
1.04857,0.712906,0.319179,0.00239193
0.799411,0.573971,-0.340841,0.000830237
0.910163,0.594086,-0.217208,0.00124275
0.980321,0.769651,0.200581,0.0023131
0.980321,0.769651,0.200581,0.0023131
0.954816,0.654111,-0.0544521,0.0015345
0.982278,0.560801,-0.130232,0.00136151
0.813403,0.343867,-0.436003,0.000275903
0.599332,0.433123,-0.324774,0.000352511
0.395801,0.6094,-0.210384,0.000552311
0.319788,0.596861,-0.159223,0.000435476
0.276558,0.709925,-0.204953,0.000468114
0.276558,0.709925,-0.204953,0.000468114
0.161543,0.865858,-0.238373,0.000608961
0.224941,0.649475,-0.152745,0.000532844
0.183972,0.640679,-0.132463,0.00057184
0.183972,0.640679,-0.132463,0.00057184
0.0680637,0.847258,-0.228656,0.000519275
0.209117,1.08267,-0.234928,0.000780192
0.369014,1.2367,-0.121868,0.00154436
0.437908,1.09878,-0.172495,0.00146571
0.363345,1.20397,-0.145922,0.00158406
0.435773,1.35649,0.0232403,0.00221153
0.448281,1.35165,0.0273963,0.00236353
0.419987,1.11102,-0.176604,0.00142424
0.602436,1.18495,0.023312,0.00220241
0.602436,1.18495,0.023312,0.00220241
0.542893,1.40203,0.193498,0.00251792
0.59772,1.45005,0.3485,0.00337744
0.461755,1.26468,-0.0410854,0.00216353
0.461755,1.26468,-0.0410854,0.00216353
0.461755,1.26468,-0.0410854,0.00216353
0.522419,1.19737,-0.0479253,0.00201378
0.762038,0.994355,0.0386633,0.0022427
0.750466,1.01039,0.0421323,0.00207167
0.51791,1.11161,-0.122562,0.00181114
0.432207,1.03468,-0.204729,0.00114374
0.408996,0.982693,-0.232508,0.00104437
0.62687,0.76926,-0.268007,0.000923696
0.798185,0.569453,-0.34609,0.000862264
0.900507,0.477239,-0.35305,0.000682693
0.771476,0.669253,-0.277907,0.000982237
0.566998,0.688983,-0.293794,0.000700935
0.615908,0.711242,-0.292825,0.000847898
0.615908,0.711242,-0.292825,0.000847898
0.45739,0.894994,-0.250064,0.000860828
0.38447,0.88023,-0.255318,0.000753374
0.533052,0.742003,-0.280326,0.000820568
0.615905,0.558565,-0.332437,0.000484603
0.742607,0.358509,-0.429565,0.000238996
0.648364,0.409178,-0.36928,0.000287335
0.558322,0.614985,-0.299503,0.000533757
0.723759,0.76276,-0.230411,0.00124618
0.631206,0.922916,-0.175658,0.00141561
0.398436,0.943643,-0.245992,0.000923942
0.630592,1.17139,0.0453907,0.00213018
0.545247,1.1652,-0.0564341,0.00194714
0.545247,1.1652,-0.0564341,0.00194714
0.3939,1.31478,-0.0479528,0.00212415
0.3939,1.31478,-0.0479528,0.00212415
0.286948,1.46826,0.0233932,0.00220832
0.226434,1.36223,-0.0935201,0.00177539
0.149004,1.39017,-0.0926542,0.00193799
0.0868888,1.59918,0.0816257,0.00259998
0.103816,1.39004,-0.100851,0.00193184
0.271751,1.57154,0.123078,0.00295269
0.474521,1.43457,0.151486,0.00237133
0.361414,1.34622,-0.0396153,0.0020839
0.472283,1.23609,-0.0558561,0.00176402
0.472283,1.23609,-0.0558561,0.00176402
0.430821,1.433,0.0937487,0.00246375
0.430821,1.433,0.0937487,0.00246375
0.424447,1.28698,-0.0505391,0.00173445
0.638378,1.29949,0.208018,0.00257216
0.638378,1.29949,0.208018,0.00257216
0.467661,1.39202,0.0903637,0.00223829
0.561406,1.31703,0.109353,0.00274673
0.561406,1.31703,0.109353,0.00274673
0.639279,1.12299,0.00320389,0.00208454
0.639279,1.12299,0.00320389,0.00208454
0.639279,1.12299,0.00320389,0.00208454
0.450248,1.24167,-0.068,0.0021683
0.571105,1.07785,-0.104311,0.00162529
0.454203,1.03901,-0.199666,0.00138239
0.454203,1.03901,-0.199666,0.00138239
0.516559,1.2051,-0.0471329,0.00205863
0.269735,1.3147,-0.110199,0.0018108
0.439385,1.56249,0.258861,0.00330651
0.205172,1.74918,0.308337,0.00338462
0.205172,1.74918,0.308337,0.00338462
0.396653,1.93083,0.783676,0.00505099
0.396653,1.93083,0.783676,0.00505099
0.345277,2.05741,0.963002,0.0052064
0.345277,2.05741,0.963002,0.0052064
0.345277,2.05741,0.963002,0.0052064
0.345277,2.05741,0.963002,0.0052064
0.345277,2.05741,0.963002,0.0052064
0.371535,1.89406,0.684431,0.00436698
0.210096,1.84836,0.450492,0.00331528
0.210096,1.84836,0.450492,0.00331528
0.0127468,1.69334,0.176743,0.00330127
0.0398085,1.54882,0.0240595,0.00227372
0.0550943,1.61405,0.0928237,0.00263997
0.0550943,1.61405,0.0928237,0.00263997
0.0552778,1.63939,0.122706,0.00300684
0.113286,1.43302,-0.0638758,0.00194664
0.062063,1.45853,-0.0549073,0.00210724
0.301307,1.3507,-0.0701284,0.00202033
0.301307,1.3507,-0.0701284,0.00202033
0.301307,1.3507,-0.0701284,0.00202033
0.239386,1.45889,0.000364578,0.00216658
0.432227,1.49244,0.171236,0.00309592
0.432227,1.49244,0.171236,0.00309592
0.351212,1.44625,0.0468775,0.00223498
0.344251,1.41782,0.012844,0.00214448
0.192088,1.39149,-0.0794771,0.00164205
0.31903,1.51339,0.0914358,0.00217781
0.31903,1.51339,0.0914358,0.00217781
0.31903,1.51339,0.0914358,0.00217781
