mu,sigma^2,energy,err
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
1,1,0.712203,0.00371447
0.839043,1.04526,0.272056,0.0025879
0.940918,0.977374,0.447433,0.00337519
1.10918,0.728172,0.600939,0.00279171
1.10918,0.728172,0.600939,0.00279171
0.936984,0.591415,-0.177653,0.00120187
1.01581,0.378613,-0.247983,0.000586724
0.900802,0.183323,0.105248,0.00100792
1.07431,0.231887,0.0106985,0.000635641
1.11532,0.24095,0.0592287,0.000562776
1.11532,0.24095,0.0592287,0.000562776
1.17103,0.14216,0.631075,0.00114547
1.17103,0.14216,0.631075,0.00114547
0.999283,0.100643,1.16505,0.00200703
0.999283,0.100643,1.16505,0.00200703
0.999283,0.100643,1.16505,0.00200703
0.900126,0.105522,1.11514,0.0019462
1.09875,0.210268,0.119644,0.000698153
1.09625,0.129181,0.688802,0.00141594
1.18855,0.34784,0.212465,0.00104336
1.41848,0.21351,1.24214,0.00128166
1.41848,0.21351,1.24214,0.00128166
1.41848,0.21351,1.24214,0.00128166
1.30931,0.459808,1.03051,0.00207598
1.15286,0.288788,0.0892427,0.000766323
0.934506,0.172848,0.197405,0.0010859
1.07775,0.198919,0.134642,0.000621517
1.07775,0.198919,0.134642,0.000621517
1.07775,0.198919,0.134642,0.000621517
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.835315,0.168895,0.206715,0.00123918
0.590773,0.255702,-0.220715,0.000536461
0.746734,0.364678,-0.432863,0.000214751
0.746734,0.364678,-0.432863,0.000214751
0.890611,0.329475,-0.396012,0.000337034
0.773732,0.335072,-0.431138,0.000263879
0.845435,0.380392,-0.435868,0.000323959
0.845435,0.380392,-0.435868,0.000323959
0.826269,0.40459,-0.438316,0.000340941
0.64067,0.533207,-0.350879,0.000439843
0.754176,0.314104,-0.411071,0.000330749
0.754176,0.314104,-0.411071,0.000330749
0.890936,0.443204,-0.387673,0.000554249
0.941272,0.547108,-0.22859,0.00111094
1.11492,0.73376,0.638509,0.00279595
0.94933,0.658912,-0.0591461,0.00165837
0.94933,0.658912,-0.0591461,0.00165837
0.789916,0.559668,-0.35658,0.00065008
0.675073,0.599301,-0.341781,0.000533899
0.50874,0.484213,-0.245218,0.000453545
0.50874,0.484213,-0.245218,0.000453545
0.399255,0.551957,-0.18298,0.000554179
0.279677,0.645352,-0.170456,0.000650007
0.295234,0.762375,-0.228937,0.00055994
0.249221,0.699244,-0.191138,0.000441968
0.356139,0.844367,-0.255429,0.000750311
0.427846,0.944114,-0.241253,0.000902056
0.375358,0.981149,-0.239392,0.000885734
0.375358,0.981149,-0.239392,0.000885734
0.375358,0.981149,-0.239392,0.000885734
0.444584,1.12545,-0.155177,0.00152747
0.220018,1.11355,-0.225535,0.00101507
0.37865,0.956672,-0.246614,0.000961847
0.492549,0.83504,-0.261591,0.000759986
0.336663,0.683653,-0.213978,0.000545506
0.540505,0.684952,-0.289588,0.0006577
0.690522,0.82057,-0.208279,0.00102156
0.600089,0.955405,-0.172717,0.00139386
0.633857,0.902118,-0.188631,0.00152721
0.633857,0.902118,-0.188631,0.00152721
0.495966,0.879495,-0.249288,0.00103789
0.50865,1.0386,-0.174284,0.00130713
0.50865,1.0386,-0.174284,0.00130713
0.490258,0.819888,-0.265598,0.000773593
0.58175,0.687773,-0.298708,0.000561219
0.386336,0.49023,-0.130172,0.000573762
0.29355,0.463079,-0.017632,0.000654496
0.29355,0.463079,-0.017632,0.000654496
0.29355,0.463079,-0.017632,0.000654496
0.23897,0.286597,0.370909,0.000768854
0.00537181,0.250359,0.733107,0.00110725
0.00537181,0.250359,0.733107,0.00110725
0.124681,0.352241,0.320062,0.000892061
0.00229268,0.443955,0.155249,0.00069578
0.0838914,0.43038,0.169501,0.000752832
0.0659238,0.60558,-0.0735623,0.00062569
0.251444,0.551387,-0.0833369,0.000603751
0.251444,0.551387,-0.0833369,0.000603751
0.129324,0.671442,-0.141859,0.000599881
0.129324,0.671442,-0.141859,0.000599881
0.00999327,0.894493,-0.238966,0.000513564
0.00999327,0.894493,-0.238966,0.000513564
0.188945,0.814588,-0.227519,0.000535841
0.00306271,0.641053,-0.103104,0.000614177
0.0333588,0.461743,0.122807,0.000765518
0.177524,0.515277,-0.0046605,0.00058368
0.425421,0.515555,-0.18197,0.000523665
0.33826,0.599781,-0.171506,0.000520527
0.337663,0.847964,-0.252932,0.000676096
0.507556,1.08346,-0.145297,0.001318
0.590185,0.976218,-0.165912,0.00141435
0.80621,0.980305,0.102889,0.00262213
0.80621,0.980305,0.102889,0.00262213
0.80621,0.980305,0.102889,0.00262213
0.762308,1.179,0.287496,0.00276022
0.880853,0.969558,0.257092,0.00293122
0.84146,1.09774,0.356258,0.00295785
0.872785,0.888007,0.114297,0.00208858
0.713206,0.652178,-0.312627,0.000868143
0.713206,0.652178,-0.312627,0.000868143
0.919881,0.587434,-0.208654,0.00115881
0.919881,0.587434,-0.208654,0.00115881
0.911761,0.782648,0.0451525,0.00187806
0.804607,0.633819,-0.286992,0.000997638
0.713867,0.437338,-0.412192,0.000305077
0.713867,0.437338,-0.412192,0.000305077
0.713867,0.437338,-0.412192,0.000305077
0.713867,0.437338,-0.412192,0.000305077
0.713867,0.437338,-0.412192,0.000305077
0.713867,0.437338,-0.412192,0.000305077
0.852805,0.322973,-0.412613,0.000333952
0.852805,0.322973,-0.412613,0.000333952
0.872903,0.365641,-0.422791,0.000369482
0.872903,0.365641,-0.422791,0.000369482
0.872903,0.365641,-0.422791,0.000369482
0.681236,0.560161,-0.358149,0.000490002
0.513489,0.797867,-0.268739,0.000636089
0.394559,0.772327,-0.255489,0.000601771
0.605361,0.752775,-0.280006,0.00080944
0.46281,0.615251,-0.250786,0.000506067
0.523306,0.685432,-0.285047,0.000523934
0.321908,0.769884,-0.238214,0.000531142
0.245807,0.875117,-0.248122,0.000610704
0.171047,0.995502,-0.249642,0.00070414
0.171047,0.995502,-0.249642,0.00070414
0.171047,0.995502,-0.249642,0.00070414
0.171047,0.995502,-0.249642,0.00070414
0.171047,0.995502,-0.249642,0.00070414
0.101014,1.09004,-0.23991,0.000903287
0.237678,0.934854,-0.250929,0.000712609
0.3198,0.757984,-0.23476,0.000591549
0.181725,0.683425,-0.161756,0.000486357
