gen,cost
0,35.2311
1,26.8253
2,22.594
3,16.6712
4,13.8177
5,13.051
6,11.2825
7,10.8215
8,10.8155
9,10.3043
10,8.8107
11,8.47398
12,8.04388
13,8.04388
14,6.83337
15,6.83337
16,5.92502
17,5.92502
18,5.84949
19,5.58666
20,4.59728
21,4.59728
22,4.31874
23,4.13921
24,4.13921
25,4.13921
26,4.10985
27,4.10985
28,4.04352
29,4.03843
30,4.03843
31,3.80931
32,3.75303
33,3.52391
34,3.52391
35,3.52391
36,3.45387
37,3.44878
38,3.21955
39,3.21955
40,3.21955
41,3.21955
42,3.20846
43,3.20846
44,3.20617
45,3.19423
46,3.19423
47,3.19423
48,3.1842
49,3.13904
50,3.13904
51,3.13904
52,3.13185
53,3.13185
54,3.13185
55,3.13185
56,3.13185
57,3.13185
58,3.13185
59,3.13185
60,3.13185
61,3.13185
62,3.13185
63,3.13185
64,3.10096
65,3.10096
66,3.10096
67,3.10096
68,3.10096
69,3.10096
70,3.10096
71,3.10096
72,3.10096
73,3.10096
74,3.10096
75,3.10096
76,3.10096
77,3.10096
78,3.10096
79,3.10096
80,3.10096
81,3.10096
82,3.10096
83,3.10096
84,3.10096
85,3.10096
86,3.10096
87,3.10096
88,3.10096
89,3.10096
90,3.10096
91,3.10096
92,3.10096
93,3.10096
94,3.10096
95,3.10096
96,3.10096
97,3.10096
98,3.10096
99,3.10096
100,3.10096
101,3.10096
102,3.10096
103,3.10096
104,3.10096
105,3.10096
106,3.10096
107,3.10096
108,3.10096
109,3.10096
110,3.10096
111,3.10096
112,3.10096
113,3.10096
114,3.10096
115,3.10096
116,3.10096
117,3.10096
118,3.10096
119,3.10096
120,3.10096
121,3.10096
122,3.10096
123,3.10096
124,3.10096
125,3.10096
126,3.10096
127,3.10096
128,3.10096
129,3.10096
130,3.10096
131,3.10096
132,3.10096
133,3.10096
134,3.10096
135,3.10096
136,3.10096
137,3.10096
138,3.10096
139,3.10096
140,3.10096
141,3.10096
142,3.10096
143,3.10096
144,3.10096
145,3.10096
146,3.10096
147,3.10096
148,3.10096
149,3.10096
150,3.10096
151,3.10096
152,3.10096
153,3.10096
154,3.10096
155,3.10096
156,3.10096
157,3.10096
158,3.10096
159,3.10096
160,3.10096
161,3.10096
162,3.10096
163,3.10096
164,3.10096
165,3.10096
166,3.10096
167,3.10096
168,3.10096
169,3.10096
170,3.10096
171,3.10096
172,3.10096
173,3.10096
174,3.10096
175,3.10096
176,3.10096
177,3.10096
178,3.10096
179,3.10096
180,3.10096
181,3.10096
182,3.10096
183,3.10096
184,3.10096
185,3.10096
186,3.10096
187,3.10096
188,3.10096
189,3.10096
190,3.10096
191,3.10096
192,3.10096
193,3.10096
194,3.10096
195,3.10096
196,3.10096
197,3.10096
198,3.10096
199,3.10096
200,3.10096
201,3.10096
202,3.10096
203,3.10096
204,3.10096
205,3.10096
206,3.10096
207,3.10096
208,3.10096
209,3.10096
210,3.10096
211,3.10096
212,3.10096
213,3.10096
214,3.10096
215,3.10096
216,3.10096
217,3.10096
218,3.10096
219,3.10096
220,3.10096
221,3.10096
222,3.10096
223,3.10096
224,3.10096
225,3.10096
226,3.10096
227,3.10096
228,3.10096
229,3.10096
230,3.10096
231,3.10096
232,3.10096
233,3.10096
234,3.10096
235,3.10096
236,3.10096
237,3.10096
238,3.10096
239,3.10096
240,3.10096
241,3.10096
242,3.10096
243,3.10096
244,3.10096
245,3.10096
246,3.10096
247,3.10096
248,3.10096
249,3.10096
250,3.10096
251,3.10096
252,3.10096
253,3.10096
254,3.10096
255,3.10096
256,3.10096
257,3.10096
258,3.10096
259,3.10096
260,3.10096
261,3.10096
262,3.10096
263,3.10096
264,3.10096
265,3.10096
266,3.10096
267,3.10096
268,3.10096
269,3.10096
270,3.10096
271,3.10096
272,3.10096
273,3.10096
274,3.10096
275,3.10096
276,3.10096
277,3.10096
278,3.10096
279,3.10096
280,3.10096
281,3.10096
282,3.10096
283,3.10096
284,3.10096
285,3.10096
286,3.10096
287,3.10096
288,3.10096
289,3.10096
290,3.10096
291,3.10096
292,3.10096
293,3.10096
294,3.10096
295,3.10096
296,3.10096
297,3.10096
298,3.10096
299,3.10096
300,3.10096
