gen,cost
0,6.95064
1,6.49948
2,5.61356
3,4.79161
4,4.63555
5,4.63555
6,4.18454
7,3.82009
8,3.82009
9,3.67746
10,3.29145
11,3.29145
12,3.27397
13,2.94904
14,2.94904
15,2.84698
16,2.42573
17,2.40766
18,2.36175
19,2.34989
20,2.23691
21,2.23691
22,2.0323
23,2.0323
24,2.00183
25,2.00183
26,1.90474
27,1.90474
28,1.79335
29,1.78999
30,1.78999
31,1.53354
32,1.53354
33,1.48613
34,1.48613
35,1.42
36,1.38733
37,1.38733
38,1.38733
39,1.29456
40,1.29456
41,1.28432
42,1.24548
43,1.23693
44,1.23523
45,1.23523
46,1.23523
47,1.23523
48,1.22412
49,1.22412
50,1.20156
51,1.20156
52,1.19389
53,1.16392
54,1.14547
55,1.14547
56,1.14547
57,1.14547
58,1.14547
59,1.14547
60,1.14547
61,1.14547
62,1.14547
63,1.14547
64,1.14547
65,1.14547
66,1.14547
67,1.14547
68,1.14547
69,1.14547
70,1.10783
71,1.10783
72,1.10783
73,1.10783
74,1.10116
75,1.10116
76,1.10116
77,1.10116
78,1.10116
79,1.10116
80,1.10116
81,1.10116
82,1.10116
83,1.10116
84,1.10116
85,1.10116
86,1.10116
87,1.10116
88,1.10116
89,1.10116
90,1.10116
91,1.10116
92,1.10116
93,1.10116
94,1.10116
95,1.10116
96,1.10116
97,1.10116
98,1.10116
99,1.10116
100,1.10116
101,1.10116
102,1.10116
103,1.10116
104,1.10116
105,1.10116
106,1.10116
107,1.10116
108,1.10116
109,1.10116
110,1.10116
111,1.10116
112,1.10116
113,1.10116
114,1.10116
115,1.10116
116,1.05133
117,1.05133
118,1.05133
119,1.04977
120,1.04924
121,1.04924
122,1.04924
123,0.987922
124,0.987922
125,0.987922
126,0.987922
127,0.987922
128,0.987922
129,0.987922
130,0.987922
131,0.987922
132,0.987922
133,0.987922
134,0.987922
135,0.987922
136,0.987922
137,0.987922
138,0.987922
139,0.987922
140,0.987922
141,0.987922
142,0.987922
143,0.987922
144,0.987922
145,0.987922
146,0.987922
147,0.987922
148,0.987922
149,0.987922
150,0.987922
151,0.987922
152,0.987922
153,0.987922
154,0.987922
155,0.987922
156,0.987922
157,0.987922
158,0.987504
159,0.987504
160,0.987504
161,0.987504
162,0.987504
163,0.987504
164,0.987504
165,0.987504
166,0.987504
167,0.987504
168,0.987504
169,0.987504
170,0.987504
171,0.987504
172,0.974291
173,0.974291
174,0.974291
175,0.974291
176,0.974291
177,0.974291
178,0.974291
179,0.974291
180,0.974291
181,0.974291
182,0.974291
183,0.974291
184,0.974291
185,0.974291
186,0.974291
187,0.974291
188,0.974291
189,0.974291
190,0.974291
191,0.974291
192,0.974291
193,0.974291
194,0.974291
195,0.974291
196,0.974291
197,0.974291
198,0.974291
199,0.974291
200,0.974291
201,0.974291
202,0.974291
203,0.974291
204,0.974291
205,0.974291
206,0.974291
207,0.974291
208,0.974291
209,0.974291
210,0.974291
211,0.974291
212,0.974291
213,0.974291
214,0.974291
215,0.974291
216,0.974291
217,0.974291
218,0.974291
219,0.974291
220,0.974291
221,0.974291
222,0.974291
223,0.974291
224,0.974291
225,0.974291
226,0.974291
227,0.974291
228,0.974291
229,0.974291
230,0.974291
231,0.974291
232,0.974291
233,0.974291
234,0.974291
235,0.974291
236,0.974291
237,0.974291
238,0.974291
239,0.974291
240,0.974291
241,0.974291
242,0.974291
243,0.974291
244,0.974291
245,0.974291
246,0.974291
247,0.974291
248,0.974291
249,0.974291
250,0.974291
251,0.974291
252,0.974291
253,0.974291
254,0.974291
255,0.974291
256,0.974291
257,0.974291
258,0.974291
259,0.974291
260,0.974291
261,0.974291
262,0.974291
263,0.974291
264,0.974291
265,0.974291
266,0.974291
267,0.974291
268,0.974291
269,0.974291
270,0.974291
271,0.974291
272,0.974291
273,0.974291
274,0.974291
275,0.974291
276,0.974291
277,0.974291
278,0.974291
279,0.974291
280,0.974291
281,0.974291
282,0.974291
283,0.974291
284,0.974291
285,0.974291
286,0.974291
287,0.974291
288,0.974291
289,0.974291
290,0.974291
291,0.974291
292,0.974291
293,0.974291
294,0.974291
295,0.974291
296,0.974291
297,0.974291
298,0.974291
299,0.974291
300,0.974291
