gen,cost
0,62.0485
1,56.2619
2,50.4709
3,43.9063
4,37.2249
5,32.0142
6,25.9757
7,21.8436
8,18.183
9,15.7091
10,13.2525
11,12.3085
12,11.4325
13,11.1944
14,10.3866
15,9.11117
16,8.51776
17,7.85321
18,7.16629
19,6.91626
20,6.07555
21,5.79214
22,5.41133
23,5.0042
24,4.64841
25,4.40579
26,4.36475
27,4.2532
28,4.17276
29,4.15886
30,4.10511
31,4.08674
32,4.05351
33,4.0255
34,3.93147
35,3.83914
36,3.72595
37,3.65304
38,3.56427
39,3.51058
40,3.47257
41,3.38203
42,3.32396
43,3.23932
44,3.21837
45,3.22345
46,3.21879
47,3.21227
48,3.25848
49,3.20544
50,3.19685
51,3.20143
52,3.20728
53,3.32773
54,3.21897
55,3.14258
56,3.13918
57,3.13308
58,3.1322
59,3.13223
60,3.13196
61,3.13185
62,3.13185
63,3.13185
64,3.12894
65,3.12149
66,3.11396
67,3.10552
68,3.10236
69,3.10472
70,3.12695
71,3.10172
72,3.10096
73,3.10208
74,3.11245
75,3.10096
76,3.10512
77,3.1012
78,3.10096
79,3.10096
80,3.10096
81,3.10096
82,3.10096
83,3.10818
84,3.10096
85,3.10126
86,3.10096
87,3.10124
88,3.10533
89,3.13278
90,3.18314
91,3.10096
92,3.10096
93,3.10096
94,3.10096
95,3.10096
96,3.10096
97,3.10096
98,3.10834
99,3.10096
100,3.10096
101,3.10096
102,3.10096
103,3.10096
104,3.10096
105,3.10096
106,3.10096
107,3.10254
108,3.10629
109,3.10785
110,3.12162
111,3.11323
112,3.10182
113,3.10284
114,3.1035
115,3.12488
116,3.10616
117,3.16361
118,3.10319
119,3.10096
120,3.10096
121,3.10096
122,3.10337
123,3.10105
124,3.10174
125,3.10096
126,3.10452
127,3.12292
128,3.11148
129,3.10096
130,3.10096
131,3.10096
132,3.10096
133,3.10096
134,3.10096
135,3.10382
136,3.10791
137,3.10096
138,3.10096
139,3.10096
140,3.10096
141,3.10096
142,3.10096
143,3.10096
144,3.10096
145,3.10096
146,3.10096
147,3.10189
148,3.10096
149,3.10096
150,3.10115
151,3.10096
152,3.10582
153,3.1077
154,3.10096
155,3.10096
156,3.10096
157,3.11826
158,3.11365
159,3.12835
160,3.10096
161,3.10096
162,3.12023
163,3.15896
164,3.10879
165,3.10096
166,3.10096
167,3.10172
168,3.19262
169,3.10096
170,3.10096
171,3.11278
172,3.10755
173,3.10153
174,3.10096
175,3.10096
176,3.10096
177,3.1022
178,3.11358
179,3.10096
180,3.10096
181,3.10096
182,3.10096
183,3.10096
184,3.10096
185,3.10103
186,3.10096
187,3.10096
188,3.10096
189,3.10096
190,3.10096
191,3.10096
192,3.10096
193,3.10096
194,3.10096
195,3.10096
196,3.10096
197,3.10096
198,3.10096
199,3.10096
200,3.10385
201,3.10096
202,3.10096
203,3.10096
204,3.10096
205,3.12443
206,3.12436
207,3.10096
208,3.10096
209,3.10096
210,3.10096
211,3.11454
212,3.10096
213,3.10096
214,3.10096
215,3.1369
216,3.22293
217,3.10193
218,3.15036
219,3.10836
220,3.10096
221,3.10096
222,3.10096
223,3.10126
224,3.10096
225,3.10096
226,3.10281
227,3.10283
228,3.10112
229,3.10096
230,3.10245
231,3.1012
232,3.10118
233,3.10096
234,3.10096
235,3.10096
236,3.10099
237,3.10633
238,3.11988
239,3.11961
240,3.10096
241,3.10096
242,3.10096
243,3.10096
244,3.10096
245,3.10897
246,3.11147
247,3.13985
248,3.14773
249,3.10481
250,3.10096
251,3.10096
252,3.10188
253,3.10096
254,3.10096
255,3.10096
256,3.10096
257,3.10096
258,3.10096
259,3.10136
260,3.10766
261,3.11962
262,3.11106
263,3.10096
264,3.10529
265,3.10595
266,3.10697
267,3.11525
268,3.10096
269,3.10096
270,3.10096
271,3.10096
272,3.10096
273,3.10837
274,3.10096
275,3.10096
276,3.10096
277,3.10096
278,3.10466
279,3.10096
280,3.10096
281,3.10096
282,3.10096
283,3.10096
284,3.10096
285,3.10096
286,3.10096
287,3.10096
288,3.10096
289,3.10711
290,3.12498
291,3.10394
292,3.10096
293,3.12809
294,3.10096
295,3.10096
296,3.10096
297,3.10251
298,3.11239
299,3.11368
300,3.10113
