gen,cost
0,12.8689
1,11.7012
2,10.5519
3,9.61714
4,8.62264
5,7.90042
6,7.0513
7,6.5202
8,5.91248
9,5.60831
10,4.98934
11,4.8951
12,4.33177
13,4.24807
14,4.00317
15,3.60347
16,3.53882
17,3.42782
18,3.25398
19,3.24474
20,2.86463
21,2.79199
22,2.79984
23,2.56439
24,2.32144
25,2.17057
26,2.15099
27,2.08125
28,2.03177
29,2.00105
30,1.94487
31,1.89471
32,1.83103
33,1.7861
34,1.68804
35,1.61939
36,1.56885
37,1.5615
38,1.51932
39,1.47194
40,1.44748
41,1.42606
42,1.40283
43,1.3399
44,1.31798
45,1.30874
46,1.29796
47,1.26975
48,1.28558
49,1.254
50,1.24632
51,1.25786
52,1.24966
53,1.23772
54,1.22075
55,1.20915
56,1.2158
57,1.17717
58,1.18258
59,1.19831
60,1.17145
61,1.14547
62,1.14547
63,1.14547
64,1.14547
65,1.14547
66,1.14547
67,1.14547
68,1.14547
69,1.1457
70,1.14786
71,1.14526
72,1.14244
73,1.1349
74,1.12576
75,1.11607
76,1.20913
77,1.13086
78,1.10987
79,1.11479
80,1.10942
81,1.10475
82,1.1012
83,1.11027
84,1.10316
85,1.10896
86,1.10116
87,1.10391
88,1.10493
89,1.11268
90,1.12245
91,1.10116
92,1.10116
93,1.10116
94,1.10116
95,1.10116
96,1.10116
97,1.10116
98,1.11401
99,1.10126
100,1.10116
101,1.10116
102,1.10116
103,1.10116
104,1.10137
105,1.10116
106,1.10121
107,1.10229
108,1.12513
109,1.13659
110,1.10566
111,1.10475
112,1.10121
113,1.10401
114,1.10685
115,1.11736
116,1.10612
117,1.14389
118,1.10443
119,1.08691
120,1.08915
121,1.06662
122,1.23626
123,1.08134
124,1.15254
125,1.15459
126,1.22353
127,1.21042
128,1.18581
129,1.0941
130,0.99172
131,0.987922
132,0.987922
133,0.987922
134,0.989634
135,0.990564
136,0.992022
137,0.987922
138,0.987922
139,0.987922
140,0.987922
141,0.987922
142,0.987922
143,0.987922
144,0.987922
145,0.987922
146,0.987922
147,0.988055
148,0.987922
149,0.987922
150,0.98805
151,0.987922
152,0.993603
153,0.991468
154,0.987922
155,0.987922
156,0.987922
157,0.993533
158,0.990032
159,1.04196
160,1.00597
161,1.01686
162,1.27026
163,1.09483
164,1.06053
165,1.01905
166,1.02446
167,1.05127
168,1.08532
169,0.990391
170,0.987504
171,0.989353
172,0.986098
173,0.999267
174,1.01465
175,1.10664
176,1.04443
177,1.06153
178,1.18023
179,1.01539
180,1.03899
181,0.974291
182,0.974291
183,0.974291
184,0.974291
185,0.976423
186,0.974291
187,0.974291
188,0.974291
189,0.974291
190,0.974291
191,0.974291
192,0.974291
193,0.974291
194,0.974291
195,0.974291
196,0.974291
197,0.974291
198,0.974291
199,0.974291
200,0.975637
201,0.974291
202,0.974291
203,0.974291
204,0.974291
205,0.976461
206,0.980978
207,0.974291
208,0.974291
209,0.974291
210,0.974291
211,0.976331
212,0.974291
213,0.974291
214,0.974291
215,0.992448
216,1.0141
217,0.97433
218,0.978045
219,0.978359
220,0.974291
221,0.974291
222,0.974291
223,0.97564
224,0.974291
225,0.974291
226,0.978926
227,0.977284
228,0.976404
229,0.974339
230,0.97764
231,0.976146
232,0.975999
233,0.974291
234,0.974291
235,0.974291
236,0.974329
237,0.975295
238,0.98226
239,0.981704
240,0.974291
241,0.974291
242,0.974291
243,0.974291
244,0.974291
245,0.97474
246,0.990601
247,1.01042
248,1.01012
249,0.986106
250,0.974291
251,0.974291
252,0.976133
253,0.974291
254,0.974291
255,0.974291
256,0.974291
257,0.974291
258,0.974291
259,0.98093
260,0.983578
261,0.98578
262,0.981157
263,0.974291
264,0.977671
265,0.977811
266,0.979641
267,0.990217
268,0.974291
269,0.974291
270,0.974291
271,0.974291
272,0.974291
273,0.976057
274,0.974291
275,0.974291
276,0.974291
277,0.974291
278,0.976093
279,0.974291
280,0.974291
281,0.974291
282,0.974291
283,0.974291
284,0.974291
285,0.974291
286,0.974291
287,0.974291
288,0.974291
289,0.976001
290,0.979142
291,0.975026
292,0.974291
293,0.980236
294,0.974291
295,0.974291
296,0.974291
297,0.974757
298,0.977785
299,0.980793
300,0.979129
