gen,cost
0,29172.1
1,26105.4
2,24360.7
3,23034.4
4,20366.7
5,20366.7
6,19807.9
7,19543.7
8,19073.2
9,18227.6
10,18109.1
11,17831.1
12,17489.7
13,17068.8
14,17007.1
15,16366.6
16,16027.6
17,15002.1
18,14904.5
19,14295.9
20,14265.5
21,14135.6
22,13978.6
23,13830.9
24,13830.9
25,13830.9
26,13830.9
27,13804.9
28,13773.2
29,13678
30,13620.3
31,13538.6
32,13538.6
33,13489.6
34,13489.6
35,13390.2
36,13249.1
37,13178.4
38,13178.4
39,13125.7
40,13097.9
41,13097.9
42,13067.3
43,13058.5
44,12983.1
45,12981.9
46,12920.5
47,12919.3
48,12916.7
49,12916.7
50,12850.5
51,12846.6
52,12811.8
53,12811.8
54,12687.3
55,12687.3
56,12660.4
57,12650.3
58,12650.3
59,12650.3
60,12633.9
61,12633.9
62,12633.9
63,12633.9
64,12633.9
65,12556.5
66,12556.5
67,12556.5
68,12556.5
69,12500.1
70,12500.1
71,12500.1
72,12500.1
73,12500.1
74,12500.1
75,12492.4
76,12492.4
77,12492.4
78,12492.4
79,12492.4
80,12492.4
81,12492.4
82,12492.4
83,12468.5
84,12468.5
85,12468.5
86,12468.5
87,12468.5
88,12468.5
89,12468.5
90,12464.1
91,12464.1
92,12464.1
93,12464.1
94,12464.1
95,12464.1
96,12464.1
97,12464.1
98,12464.1
99,12464.1
100,12464.1
101,12437.1
102,12437.1
103,12437.1
104,12396.7
105,12396.7
106,12396.7
107,12396.7
108,12396.7
109,12396.7
110,12396.7
111,12396.7
112,12396.7
113,12396.7
114,12396.7
115,12396.7
116,12388.8
117,12388.8
118,12388.8
119,12388.8
120,12387
121,12387
122,12387
123,12387
124,12387
125,12387
126,12387
127,12387
128,12387
129,12387
130,12387
131,12387
132,12387
133,12387
134,12387
135,12387
136,12387
137,12387
138,12387
139,12387
140,12387
141,12387
142,12387
143,12387
144,12387
145,12387
146,12387
147,12334.8
148,12334.8
149,12334.8
150,12334.8
151,12333.8
152,12333.8
153,12333.8
154,12333.8
155,12333.8
156,12333.8
157,12333.8
158,12325.6
159,12217.4
160,12197.8
161,12197.8
162,12197.8
163,12197.8
164,12197.8
165,12197.8
166,12197.8
167,12197.8
168,12197.8
169,12197.8
170,12197.8
171,12197.8
172,12179.2
173,12179.2
174,12110.4
175,12110.4
176,12110.4
177,12091.9
178,12091.9
179,12089.5
180,12089.5
181,12089.5
182,12089.5
183,12089.5
184,12089.5
185,12089.5
186,12089.5
187,12089.5
188,12089.5
189,12089.5
190,12089.5
191,12089.5
192,12048.7
193,12048.7
194,12048.7
195,12048.7
196,12048.7
197,12048.7
198,12048.7
199,12048.7
201,12048.7
202,12048.7
203,12048.7
204,12048.7
205,12048.7
206,12048.7
207,12048.7
208,12048.7
209,12048.7
210,12048.7
211,12048.7
212,12048.7
213,12048.7
214,12048.7
215,12048.7
216,12048.7
217,12048.7
218,12048.7
219,12048.7
220,12048.7
221,12048.7
222,12048.7
223,12048.7
224,12048.7
225,12048.7
226,12048.7
227,12048.7
228,12048.7
229,12048.7
230,12048.7
231,12048.7
232,12048.7
233,12048.7
234,12048.7
235,12048.7
236,12048.7
237,12048.7
238,12048.7
239,12048.7
240,12048.7
241,12048.7
242,12048.7
243,12048.7
244,12048.7
245,12048.7
246,12048.7
247,12048.7
248,12048.7
249,12048.7
250,12048.7
251,12048.7
252,12048.7
253,12048.7
254,12048.7
255,12048.7
256,12048.7
257,12048.7
258,12048.7
259,12048.7
260,12048.7
261,12048.7
262,12048.7
263,12048.7
264,12048.7
265,12048.7
266,12048.7
267,12048.7
268,12048.7
269,12048.7
270,12048.7
271,12048.7
272,12048.7
273,12048.7
274,12048.7
275,12048.7
276,12048.7
277,12048.7
278,12048.7
279,12048.7
280,12048.7
281,12048.7
282,12048.7
283,12048.7
284,12048.7
285,12048.7
286,12048.7
287,12048.7
288,12048.7
289,12048.7
290,12048.7
291,12048.7
292,12048.7
293,12048.7
294,12025.5
295,12048.7
296,12048.7
297,12048.7
298,12048.7
299,12048.7
300,12048.7
