gen,cost
1,43945
2,40246.9
3,36393.6
4,32417.8
5,29062.7
6,26587
7,24733.2
8,22067.5
9,20573.5
10,19806.2
11,18796.8
12,18298.7
13,18320.4
14,18175.8
15,17345.7
16,17247.8
17,16675.6
18,16142.1
19,15864.4
20,15361.6
21,15112.7
22,14934.8
23,14672.9
24,14552.5
25,14371.6
26,14091.4
27,13928.6
28,13766.7
29,13810.2
30,13649.1
31,14092.4
32,13610.2
33,14152.1
34,13672.1
35,13474.5
36,13776.2
37,13880.4
38,13522.6
39,13859.5
40,13389.6
41,13224.5
42,12981.7
43,12979.8
44,13052
45,12856
46,12802.4
47,12743.8
48,12721.4
49,12693.6
50,12687.1
51,12645.9
52,12612.6
53,12582.8
54,12542.5
55,12547.3
56,12531.9
57,12568.3
58,12462.8
59,12430.8
60,12421.7
61,12417.5
62,12413.3
63,12458.3
64,12416.3
65,12382.7
66,12356.5
67,12348.3
68,12355.2
69,12333.2
70,12318.3
71,12301.8
72,12275
73,12248.2
74,12225.7
75,12208
76,12182.3
77,12169
78,12154.7
79,12136.1
80,12119.2
81,12083.9
82,12035.3
83,11980.2
84,11954
85,11935.8
86,11927.6
87,11916
88,11910.9
89,11910.8
90,11906.8
91,11902.9
92,11898.1
93,11894.1
94,11892.9
95,11889.2
96,11881
97,11885.1
98,11874.2
99,11867
100,11872.8
101,11857.5
102,11850.2
103,11853.2
104,11899.9
105,11844.6
106,11901.5
107,11840.9
108,11832.7
109,11829.2
110,11822.3
111,11814.1
112,11820.3
113,11807.8
114,11801.3
115,11802.1
116,11803
117,11799.6
118,11793.8
119,11793.3
120,11793.2
121,11796.2
122,11793
123,11792.9
124,11793.3
125,11798.8
126,11826.9
127,11852.7
128,11920.5
129,11791.9
130,11791.6
131,11791.6
132,11791.6
133,11791.3
134,11790.6
135,11790.2
136,11790.4
137,11790.1
138,11789.3
139,11789.1
140,11789
141,11788.7
142,11787.7
143,11787.2
144,11787
145,11787
146,11787.9
147,11798.4
148,11789
149,11790.5
150,11795.6
151,11803.5
152,11789.2
153,11786.7
154,11786.6
155,11786.5
156,11786.5
157,11786.5
158,11788.4
159,11786.5
160,11786.5
161,11786.5
162,11786.5
163,11788.6
164,11786.5
165,11786.5
166,11786.5
167,11786.5
168,11786.5
169,11791.5
170,11786.7
171,11799.4
172,11795.4
173,11786.5
174,11787.7
175,11797
176,11786.6
177,11789.1
178,11797.6
179,11786.7
180,11786.5
181,11787.5
182,11788.8
183,11787.8
184,11793.2
185,11786.5
186,11787.1
187,11786.5
188,11789.8
189,11797.2
190,11788.7
191,11800.1
192,11799.9
193,11786.5
194,11786.5
195,11792.3
196,11786.5
197,11789.7
198,11786.5
199,11786.7
200,11787
201,11786.6
202,11786.6
203,11786.5
204,11786.5
205,11786.5
206,11786.5
207,11786.5
208,11789.1
209,11786.5
210,11786.5
211,11798.2
212,11805.6
213,11786.5
214,11786.5
215,11786.5
216,11790.4
217,11817.4
218,11796.3
219,11796.4
220,11803.2
221,11798.6
222,11787.8
223,11791.8
224,11788.8
225,11786.5
226,11787.2
227,11792
228,11786.6
229,11789.1
230,11789.2
231,11797.8
232,11788.2
233,11791.3
234,11792.2
235,11789.6
236,11791.1
237,11788.7
238,11786.6
239,11786.7
240,11788
241,11786.6
242,11786.5
243,11791.5
244,11786.5
245,11786.5
246,11820.8
247,11840
248,11788.2
249,11780.5
250,11770.1
251,11766.4
252,11750.9
253,11749
254,11757
255,11743.8
256,11740.8
257,11740.8
258,11741.9
259,11740.8
260,11740.8
261,11740.8
262,11740.8
263,11740.8
264,11740.8
265,11742.1
266,11740.8
267,11754.5
268,11739.8
269,11736.3
270,11736
271,11727.1
272,11725.9
273,11724.2
274,11723.8
275,11723.9
276,11723.2
277,11723.2
278,11723.2
279,11723.2
280,11732.4
281,11723.2
282,11723.2
283,11723.2
284,11723.2
285,11723.2
286,11723.6
287,11724.4
288,11723.2
289,11723.2
290,11723.2
291,11723.2
292,11723.2
293,11723.2
294,11723.2
295,11723.2
296,11725.5
297,11724
298,11723.6
299,11723.4
300,11723.2
301,11743
