gen,cost
1,26316.5
2,22494.9
3,22135.2
4,18682.6
5,18528.2
6,17182.8
7,16554.4
8,15454.9
9,14966
10,14508.5
11,14422
12,14342.8
13,14023.2
14,14005.4
15,13800.1
16,13646
17,13554.1
18,13437.1
19,13368.4
20,13368.4
21,13365.1
22,13320.3
23,13160.2
24,13159.4
25,13142
26,13056.7
27,13053
28,13040.2
29,13011.4
30,13009.5
31,12986.7
32,12893.9
33,12868
34,12868
35,12836.3
36,12805.3
37,12571.7
38,12539.3
39,12524.9
40,12452.3
41,12432.8
42,12424.5
43,12399.7
44,12399.7
45,12286.7
46,12286.7
47,12243.6
48,12243.6
49,12243.6
50,12180.8
51,12180.8
52,12180.8
53,12180.8
54,12176.7
55,12176.7
56,12176.7
57,12176.7
58,12110.9
59,12110.9
60,12110.9
61,12101.6
62,12084.1
63,12065.5
64,12065.5
65,12062.3
66,12062.3
67,12051.3
68,12051.3
69,12038.4
70,12013.1
71,12005.4
72,12005.4
73,12005.4
74,12005.4
75,12002.2
76,12002.2
77,11996.3
78,11985
79,11966
80,11966
81,11966
82,11952.1
83,11950.6
84,11950.6
85,11934.5
86,11934.5
87,11932.5
88,11932.5
89,11932.5
90,11930.5
91,11930.5
92,11930.5
93,11930.5
94,11930.5
95,11930.5
96,11930.5
97,11930.5
98,11930.5
99,11930.5
100,11930.5
101,11930.5
102,11930.5
103,11930.5
104,11930.5
105,11930.5
106,11930.5
107,11930.5
108,11930.5
109,11930.5
110,11930.5
111,11930.5
112,11930.5
113,11930.5
114,11930.5
115,11930.5
116,11930.5
117,11930.5
118,11930.5
119,11930.5
120,11930.5
121,11930.5
122,11855
123,11855
124,11855
125,11855
126,11855
127,11855
128,11855
129,11855
130,11855
131,11855
132,11855
133,11855
134,11855
135,11845.7
136,11845.7
137,11845.7
138,11845.7
139,11845.7
140,11845.7
141,11845.7
142,11836.8
143,11836.8
144,11835.8
145,11835.8
146,11835.8
147,11835.8
148,11835.8
149,11835.8
150,11835.8
151,11835.8
152,11835.8
153,11835.8
154,11835.8
155,11835.8
156,11835.8
157,11835.8
158,11835.8
159,11835.8
160,11835.8
161,11835.8
162,11835.8
163,11835.8
164,11835.8
165,11835.8
166,11835.8
167,11835.8
168,11835.8
169,11835.8
170,11835.8
171,11835.8
172,11835.8
173,11835.8
174,11835.8
175,11805.5
176,11805.5
177,11805.5
178,11805.5
179,11805.5
180,11805.5
181,11805.5
182,11805.5
183,11805.5
184,11805.5
185,11805.5
186,11805.5
187,11805.5
188,11805.5
189,11805.5
190,11805.5
191,11805.5
192,11805.5
193,11805.5
194,11805.5
195,11805.5
196,11805.5
197,11805.5
198,11805.5
199,11805.5
200,11805.5
201,11805.5
202,11805.5
203,11805.5
204,11805.5
205,11805.5
206,11805.5
207,11805.5
208,11805.5
209,11805.5
210,11805.5
211,11805.5
212,11805.5
213,11805.5
214,11805.5
215,11805.5
216,11805.5
217,11805.5
218,11805.5
219,11805.5
220,11805.5
221,11805.5
222,11805.5
223,11805.5
224,11805.5
225,11805.5
226,11805.5
227,11805.5
228,11805.5
229,11805.5
230,11805.5
231,11805.5
232,11805.5
233,11805.5
234,11796.7
235,11796.7
236,11796.7
237,11796.7
238,11796.7
239,11796.7
240,11796.7
241,11796.7
242,11796.7
243,11796.7
244,11796.7
245,11796.7
246,11796.7
247,11796.7
248,11796.7
249,11796.7
250,11796.7
251,11796.7
252,11796.7
253,11796.7
254,11796.7
255,11796.7
256,11796.7
257,11796.7
258,11796.7
259,11796.7
260,11796.7
261,11796.7
262,11762.7
263,11762.7
264,11762.7
265,11762.7
266,11762.7
267,11762.7
268,11762.7
269,11762.7
270,11762.7
271,11762.7
272,11762.7
273,11762.7
274,11762.7
275,11762.7
276,11762.7
277,11762.7
278,11760.1
279,11760.1
280,11760.1
281,11760.1
282,11756.8
283,11756.8
284,11756.8
285,11756.8
286,11756.8
287,11756.8
288,11756.8
289,11756.8
290,11756.8
291,11756.8
292,11756.8
293,11756.8
294,11756.8
295,11756.8
296,11756.8
297,11756.8
298,11756.8
299,11756.8
300,11756.8
301,11756.8
