gen,cost
1,43951.4
2,40177.3
3,35789.3
4,31216.5
5,27046.8
6,24713.7
7,22474.4
8,20283.4
9,18888.2
10,17874.6
11,16911.6
12,15938.7
13,15651.6
14,15452.5
15,14946.7
16,14558
17,14687.6
18,14853.5
19,14491
20,13968.6
21,13982.7
22,13760.5
23,13547.9
24,13459.2
25,13394.3
26,13326.1
27,13267.4
28,13236.9
29,13221.2
30,13127.2
31,13090.4
32,13108
33,13011.1
34,13033.7
35,12977.4
36,13006
37,12957.6
38,12934.2
39,13027.1
40,12951.6
41,12939.1
42,12816.1
43,12588.3
44,12502.4
45,12512
46,12444.4
47,12470.1
48,12400.1
49,12341.7
50,12304.1
51,12277
52,12259.5
53,12235.4
54,12220
55,12228.5
56,12233.8
57,12185.5
58,12179.8
59,12178.7
60,12169.3
61,12158.5
62,12132.6
63,12124.2
64,12122.2
65,12148
66,12230.3
67,12197.6
68,12169.1
69,12146.8
70,12108.6
71,12072.5
72,12145.6
73,12143.5
74,12168.2
75,12227.2
76,12256.6
77,12287.4
78,12280
79,12092.3
80,12156.1
81,12028.7
82,12320.8
83,12479.8
84,12180
85,12048.8
86,11997.2
87,11956.5
88,11974
89,11944.4
90,11942.3
91,11939.8
92,11933.5
93,11938
94,11934.5
95,11931.3
96,11931.3
97,11934.1
98,11932.2
99,11931.5
100,11930.5
101,11930.5
102,11930.5
103,11930.5
104,11930.5
105,11930.5
106,11937.1
107,11931
108,11954.8
109,11932.1
110,11930.8
111,11934.3
112,11931.9
113,11930.5
114,11931.8
115,11930.8
116,11930.8
117,11930.5
118,11930.5
119,11930.5
120,11930.5
121,11930.5
122,11930.5
123,11935.2
124,11934.3
125,11919.3
126,11900
127,11877
128,12003.2
129,11925.6
130,11966.5
131,11889.9
132,11855
133,11855.9
134,11857.5
135,11853.9
136,11940.7
137,11854.6
138,11952
139,12133.8
140,11991.5
141,11875
142,11854.9
143,11848.5
144,11851.8
145,11877.2
146,11850.8
147,11844.5
148,11841.2
149,11839.6
150,11836.7
151,11836.8
152,11835.8
153,11835.8
154,11835.8
155,11835.8
156,11835.8
157,11835.8
158,11835.8
159,11835.8
160,11836.1
161,11836.7
162,11836
163,11836.8
164,11836.3
165,11835.8
166,11835.8
167,11835.8
168,11835.8
169,11835.8
170,11836.4
171,11835.8
172,11835.8
173,11835.8
174,11835.9
175,11835.8
176,11835.8
177,11834.8
178,11867.1
179,11826
180,11818.5
181,11873.4
182,11835.9
183,11830.2
184,11854.4
185,11826.8
186,11824.7
187,11814.8
188,11807.4
189,11806
190,11811.3
191,11811.9
192,11811
193,11805.5
194,11805.7
195,11805.5
196,11805.8
197,11805.5
198,11805.5
199,11805.5
200,11805.5
201,11805.5
202,11805.5
203,11805.5
204,11806.1
205,11806.1
206,11805.5
207,11805.5
208,11808.2
209,11812.2
210,11812.8
211,11805.5
212,11806.4
213,11805.5
214,11805.5
215,11805.5
216,11814.3
217,11805.9
218,11805.5
219,11805.5
220,11805.5
221,11805.6
222,11805.7
223,11808.2
224,11813.1
225,11816
226,11806.3
227,11805.5
228,11805.5
229,11805.5
230,11805.5
231,11805.5
232,11805.5
233,11806.1
234,11807.5
235,11815.7
236,11805.7
237,11804.8
238,11801.6
239,11807.5
240,11799
241,11797.6
242,11796.7
243,11796.7
244,11796.7
245,11796.7
246,11796.9
247,11796.7
248,11796.7
249,11796.7
250,11796.7
251,11796.7
252,11796.7
253,11796.7
254,11796.7
255,11796.8
256,11796.8
257,11799.4
258,11796.7
259,11796.7
260,11796.7
261,11796.7
262,11796.9
263,11798.1
264,11796
265,11794.2
266,11786.4
267,11809.6
268,11773.1
269,11767.4
270,11765.3
271,11762.7
272,11762.7
273,11762.7
274,11762.9
275,11762.9
276,11763
277,11763.5
278,11763
279,11773.1
280,11782.1
281,11789
282,11782.7
283,11785.3
284,11769
285,11761.5
286,11759.8
287,11767.2
288,11758
289,11757.6
290,11757
291,11757.4
292,11757.3
293,11761.3
294,11760.5
295,11770.1
296,11758.7
297,11762.4
298,11757.3
299,11776.1
300,11761.3
301,11757.7
