x,y
-86.3006,32.3777
-69.7817,44.3072
-76.4909,38.9788
-81.6123,38.3362
-77.4336,37.5389
-81.0332,34.0003
-89.3844,43.0747
-75.5197,39.1573
-96.6997,40.8081
-104.82,41.1403
-71.538,43.2069
-72.6822,41.764
-73.7579,42.6528
-84.8754,38.1867
-76.8836,40.2644
-71.415,41.8309
-86.1626,39.7686
-92.1729,38.5792
-112.097,33.4481
-89.655,39.7984
-71.0637,42.3582
-84.2813,30.4381
-104.985,39.7392
-78.6391,35.7804
-74.7699,40.2206
-93.1022,44.9551
-112.018,46.5857
-116.2,43.6178
-86.7842,36.1658
-111.888,40.7775
-100.783,46.8209
-157.857,21.3074
-134.42,58.3016
-123.03,44.9385
-122.905,47.0358
-97.7403,30.2747
-95.678,39.0482
-121.494,38.5767
-100.346,44.367
-84.5553,42.7336
-93.6037,41.5911
-91.1874,30.4571
-82.9991,39.9613
-97.5033,35.4922
-119.766,39.1639
-105.94,35.6822
-92.289,34.7466
-90.1821,32.3038
-84.3882,33.749
-72.5805,44.2624
