gen,cost
1,43877.8
2,40131.5
3,36857.3
4,33262.4
5,30927
6,29548.9
7,26936.5
8,25309.3
9,23213.5
10,22156.9
11,21620.3
12,20458.6
13,20398.1
14,19611.9
15,19229.9
16,19092.9
17,18421.6
18,18264.2
19,17936.2
20,18204.9
21,17745.1
22,16670.5
23,16490.7
24,16451.7
25,16265.2
26,16049.8
27,15991.7
28,15817.2
29,15760
30,15597.8
31,15669.8
32,15615
33,15572.4
34,15335.1
35,15270.4
36,15204.2
37,14885.5
38,14872.6
39,14952.2
40,14711.2
41,14823.6
42,14858.7
43,14452.1
44,14284.5
45,14132.8
46,14313.4
47,14216.8
48,13936.3
49,13718.8
50,13682.3
51,13583.9
52,13560.9
53,13462.7
54,13396.8
55,13703.6
56,13607.1
57,13478.5
58,13376.8
59,13313.5
60,13304.8
61,13595
62,13805.5
63,13548.8
64,13340.2
65,13475.6
66,13303.2
67,13240.6
68,13239.1
69,13247.2
70,13188.5
71,13199.8
72,13381
73,13060.8
74,13593.6
75,13135.1
76,12928.7
77,12983.7
78,12892.1
79,12852
80,12817.1
81,12811.1
82,12867.4
83,12794.9
84,12753
85,12763.2
86,12796.8
87,12748.2
88,12802.4
89,12763.2
90,12700.2
91,12680.8
92,12678.2
93,12672.9
94,12663.2
95,12657.1
96,12650.4
97,12646.4
98,12645.8
99,12643.4
100,12641.8
101,12635.4
102,12632.3
103,12630.1
104,12630.6
105,12627.7
106,12625.5
107,12634.3
108,12623.3
109,12615.6
110,12617.5
111,12600.1
112,12585
113,12588.5
114,12575.1
115,12571.4
116,12562
117,12659.2
118,12704.1
119,12577.8
120,12628.8
121,12558.3
122,12524.4
123,12531.9
124,12486.8
125,12442.3
126,12414.7
127,12402.7
128,12386.9
129,12374.3
130,12356.4
131,12369.9
132,12366.8
133,12329.8
134,12348.9
135,12322.5
136,12306.7
137,12302.4
138,12291.2
139,12275.8
140,12277.5
141,12276.6
142,12271.3
143,12271.4
144,12272.8
145,12274.2
146,12269.2
147,12268.1
148,12267.8
149,12265.6
150,12264.8
151,12257.8
152,12258
153,12255.9
154,12254.1
155,12252.7
156,12250.3
157,12248.5
158,12244.6
159,12240.9
160,12239.6
161,12236.8
162,12236.7
163,12236.7
164,12236.7
165,12237.2
166,12236.7
167,12236.7
168,12236.7
169,12236.7
170,12236.7
171,12236.7
172,12236.7
173,12236.7
174,12236.7
175,12236.7
176,12236.7
177,12245.1
178,12251.6
179,12237.3
180,12236.7
181,12236.7
182,12236.7
183,12236.7
184,12236.7
185,12236.7
186,12236.7
187,12236.7
188,12235.8
189,12233
190,12229.5
191,12228.4
192,12227
193,12229.4
194,12225.3
195,12222.7
196,12219.6
197,12214.9
198,12207.4
199,12220.9
200,12278.4
201,12289.3
202,12198.6
203,12193.3
204,12216.9
205,12322.9
206,12356.6
207,12193.4
208,12205.8
209,12187
210,12180.2
211,12180.2
212,12180
213,12180
214,12180
215,12180
216,12180.2
217,12180
218,12180.1
219,12180.4
220,12180
221,12183.4
222,12180
223,12180
224,12180
225,12180
226,12180
227,12180
228,12180
229,12181.7
230,12195.1
231,12180.2
232,12180.3
233,12180
234,12180
235,12180
236,12180
237,12180.2
238,12180.5
239,12183.3
240,12181.4
241,12170.7
242,12294
243,12239.1
244,12163
245,12160.4
246,12160.2
247,12159.4
248,12159.2
249,12159.5
250,12159.2
251,12159.1
252,12158.2
253,12170.8
254,12151.3
255,12128.3
256,12121.1
257,12106.8
258,12115.7
259,12119.4
260,12105.7
261,12116.5
262,12110
263,12112.9
264,12095
265,12143.8
266,12111.7
267,12092.1
268,12090.4
269,12089.8
270,12089.3
271,12088.7
272,12132.2
273,12110.4
274,12068.4
275,12082.7
276,12061.9
277,12058
278,12057.9
279,12057.8
280,12057.7
281,12057.6
282,12095.1
283,12079.7
284,12107.5
285,12053.6
286,12052
287,12049.3
288,12038.7
289,12038.6
290,12042.7
291,12059.9
292,12034.2
293,12035.7
294,12039.4
295,12035.8
296,12034.1
297,12034.1
298,12034.4
299,12034.5
300,12033.2
